0+10=16|6+10=16
1-76=17|1+16=17
1-76=76|1+75=76
1-77=18|1+17=18
1-77=72|1+71=72
1-78=19|1+18=19
1-78=71|1+70=71
1-78=77|1+76=77
1-78=78|1+78=79
1-78=80|1+79=80
1-79=20|1+19=20
1-79=74|1+73=74
1-79=76|1+75=76
1-79=88|1+79=80
1-8=10|1+9=10
1-80=61|1+60=61
1-80=87|1+80=81
1-80=91|1+90=91
1-81=62|1+61=62
1-81=92|1+91=92
1-82=63|1+62=63
1-82=89|1+82=83
1-82=93|1+92=93
1-83=64|1+63=64
1-83=94|1+93=94
1-84=65|1+64=65
1-84=86|1+84=85
1-84=89|1+84=85
1-84=95|1+94=95
1-85=66|1+65=66
1-85=88|1+85=86
1-85=96|1+95=96
1-86=67|1+66=67
1-86=86|1+85=86
1-86=97|1+96=97
1-87=68|1+67=68
1-87=82|1+81=82
1-87=98|1+97=98
1-88=69|1+68=69
1-88=81|1+80=81
1-88=87|1+86=87
1-88=88|1+88=89
1-88=90|1+89=90
1-88=99|1+98=99
1-89=100|1+99=100
1-89=70|1+69=70
1-89=80|1+89=90
1-89=84|1+83=84
1-89=86|1+85=86
1-89=98|1+89=90
1-9=18|1+9=10
1-90=31|1+30=31
1-90=51|1+50=51
1-90=81|1+90=91
1-90=97|1+90=91
1-91=32|1+31=32
1-91=52|1+51=52
1-91=82|1+91=92
1-92=33|1+32=33
1-92=53|1+52=53
1-92=83|1+92=93
1-92=99|1+92=93
1-93=34|1+33=34
1-93=54|1+53=54
1-93=84|1+93=94
1-94=35|1+34=35
1-94=55|1+54=55
1-94=85|1+94=95
1-94=96|1+94=95
1-94=99|1+94=95
1-95=36|1+35=36
1-95=56|1+55=56
1-95=86|1+95=96
1-95=98|1+95=96
1-96=37|1+36=37
1-96=57|1+56=57
1-96=87|1+96=97
1-96=96|1+95=96
1-97=38|1+37=38
1-97=58|1+57=58
1-97=88|1+97=98
1-97=92|1+91=92
1-98=100|1+99=100
1-98=39|1+38=39
1-98=59|1+58=59
1-98=89|1+98=99
1-98=91|1+90=91
1-98=97|1+96=97
1-98=98|1+98=99
1-99=108|1+99=100
1-99=180|1+99=100
1-99=40|1+39=40
1-99=60|1+59=60
1-99=700|1+99=100
1-99=94|1+93=94
1-99=96|1+95=96
1+10=18|1+18=19
1+10=77|1+70=71
1+10=79|1+18=19
1+11=78|1+17=18
1+12=18|7+12=19
1+12=79|1+72=73
1+13=28|1+19=20
1+14=27|7+14=21
1+14=76|1+74=75
1+14=79|1+74=75
1+15=28|1+19=20
1+15=77|1+16=17
1+15=78|1+75=76
1+16=15|1+15=16
1+16=18|1+18=19
1+16=29|7+16=23
1+16=79|1+18=19
1+18=11|1+16=17
1+18=26|7+18=25
1+18=29|7+18=25
1+18=78|1+78=79
1+19=15|1+15=16
1+19=18|1+18=19
1+19=28|7+19=26
1+19=79|1+18=19
1+19=88|1+79=80
1+20=28|1+28=29
1+20=31|1+20=21
1+21=32|1+21=22
1+22=28|7+22=29
1+22=33|1+22=23
1+23=34|1+23=24
1+23=38|1+29=30
1+23=90|1+29=30
1+24=35|1+24=25
1+24=37|7+24=31
1+24=91|7+24=31
1+25=36|1+25=26
1+25=38|1+29=30
1+25=90|1+29=30
1+25=92|7+25=32
1+26=25|1+25=26
1+26=28|1+28=29
1+26=37|1+26=27
1+26=39|7+26=33
1+26=93|7+26=33
1+27=38|1+27=28
1+27=94|7+27=34
1+28=21|1+26=27
1+28=36|7+28=35
1+28=39|1+28=29
1+28=95|7+28=35
1+29=25|1+25=26
1+29=28|1+28=29
1+29=38|7+29=36
1+29=96|7+29=36
1+3=18|1+9=10
1+30=21|1+20=21
1+30=38|1+38=39
1+30=51|1+30=31
1+30=81|1+90=91
1+30=97|1+90=91
1+30=99|1+38=39
1+31=22|1+21=22
1+31=52|1+31=32
1+31=82|1+91=92
1+31=98|1+37=38
1+32=23|1+22=23
1+32=38|7+32=39
1+32=53|1+32=33
1+32=83|1+92=93
1+32=99|1+92=93
1+33=24|1+23=24
1+33=48|1+39=40
1+33=54|1+33=34
1+33=84|1+93=94
1+34=25|1+24=25
1+34=47|7+34=41
1+34=55|1+34=35
1+34=85|1+94=95
1+34=96|1+94=95
1+34=99|1+94=95
1+35=26|1+25=26
1+35=48|1+39=40
1+35=56|1+35=36
1+35=86|1+95=96
1+35=97|1+36=37
1+35=98|1+95=96
1+36=27|1+26=27
1+36=35|1+35=36
1+36=38|1+38=39
1+36=49|7+36=43
1+36=57|1+36=37
1+36=87|1+96=97
1+36=99|1+38=39
1+37=28|1+27=28
1+37=58|1+37=38
1+37=88|1+97=98
1+38=29|1+28=29
1+38=31|1+36=37
1+38=46|7+38=45
1+38=49|7+38=45
1+38=59|1+38=39
1+38=89|1+98=99
1+38=98|1+98=99
1+39=108|1+99=100
1+39=180|1+99=100
1+39=35|1+35=36
1+39=38|1+38=39
1+39=48|7+39=46
1+39=700|1+99=100
1+39=99|1+38=39
1+4=17|7+4=11
1+40=48|1+48=49
1+42=48|7+42=49
1+43=58|1+49=50
1+43=60|1+49=50
1+43=90|1+49=50
1+44=57|7+44=51
1+44=61|7+44=51
1+44=91|7+44=51
1+45=58|1+49=50
1+45=60|1+49=50
1+45=62|7+45=52
1+45=90|1+49=50
1+45=92|7+45=52
1+46=45|1+45=46
1+46=48|1+48=49
1+46=59|7+46=53
1+46=63|7+46=53
1+46=93|7+46=53
1+47=64|7+47=54
1+47=94|7+47=54
1+48=41|1+46=47
1+48=56|7+48=55
1+48=59|7+48=55
1+48=65|7+48=55
1+48=95|7+48=55
1+49=45|1+45=46
1+49=48|1+48=49
1+49=58|7+49=56
1+49=66|7+49=56
1+49=96|7+49=56
1+5=18|1+9=10
1+50=31|1+30=31
1+50=58|1+58=59
1+50=67|1+60=61
1+50=69|1+58=59
1+50=81|1+60=61
1+50=97|1+90=91
1+50=99|1+58=59
1+51=32|1+31=32
1+51=68|1+57=58
1+51=82|1+61=62
1+51=98|1+57=58
1+52=33|1+32=33
1+52=58|7+52=59
1+52=69|1+62=63
1+52=83|1+62=63
1+52=99|1+92=93
1+53=34|1+33=34
1+53=68|1+59=60
1+53=80|1+59=60
1+53=84|1+63=64
1+54=35|1+34=35
1+54=66|1+64=65
1+54=67|7+54=61
1+54=69|1+64=65
1+54=81|7+54=61
1+54=85|1+64=65
1+54=96|1+94=95
1+54=99|1+94=95
1+55=36|1+35=36
1+55=67|1+56=57
1+55=68|1+59=60
1+55=80|1+59=60
1+55=82|7+55=62
1+55=86|1+65=66
1+55=97|1+56=57
1+55=98|1+95=96
1+56=37|1+36=37
1+56=55|1+55=56
1+56=58|1+58=59
1+56=69|1+58=59
1+56=83|7+56=63
1+56=87|1+66=67
1+56=99|1+58=59
1+57=38|1+37=38
1+57=84|7+57=64
1+57=88|1+67=68
1+58=39|1+38=39
1+58=50|1+58=59
1+58=51|1+56=57
1+58=63|1+58=59
1+58=66|7+58=65
1+58=68|1+68=69
1+58=69|7+58=65
1+58=85|7+58=65
1+58=89|1+68=69
1+58=98|1+98=99
1+59=108|1+99=100
1+59=180|1+99=100
1+59=55|1+55=56
1+59=58|1+58=59
1+59=66|1+59=60
1+59=68|7+59=66
1+59=69|1+58=59
1+59=700|1+99=100
1+59=78|1+69=70
1+59=86|7+59=66
1+59=99|1+58=59
1+6=19|7+6=13
1+60=57|1+60=61
1+60=68|1+68=69
1+60=87|1+80=81
1+60=89|1+68=69
1+60=91|1+60=61
1+61=58|1+57=58
1+61=88|1+67=68
1+61=92|1+61=62
1+62=59|1+62=63
1+62=68|7+62=69
1+62=89|1+82=83
1+62=93|1+62=63
1+63=60|1+59=60
1+63=78|1+69=70
1+63=94|1+63=64
1+64=77|7+64=71
1+64=86|1+84=85
1+64=89|1+84=85
1+64=95|1+64=65
1+65=55|1+55=56
1+65=60|1+59=60
1+65=78|1+69=70
1+65=87|1+66=67
1+65=88|1+85=86
1+65=96|1+65=66
1+66=51|1+56=57
1+66=56|1+65=66
1+66=65|1+65=66
1+66=68|1+68=69
1+66=79|7+66=73
1+66=89|1+68=69
1+66=97|1+66=67
1+67=50|1+57=58
1+67=52|1+61=62
1+67=56|1+57=58
1+67=59|1+57=58
1+67=98|1+67=68
1+68=10|1+69=70
1+68=51|1+60=61
1+68=53|1+58=59
1+68=55|1+58=59
1+68=57|1+66=67
1+68=61|1+66=67
1+68=76|7+68=75
1+68=79|7+68=75
1+68=88|1+88=89
1+68=99|1+68=69
1+69=50|1+59=60
1+69=54|1+63=64
1+69=56|1+65=66
1+69=65|1+65=66
1+69=68|1+68=69
1+69=78|7+69=76
1+69=80|1+89=90
1+69=89|1+68=69
1+69=98|1+89=90
1+70=17|1+70=71
1+70=78|1+78=79
1+71=18|1+17=18
1+72=19|1+72=73
1+72=78|7+72=79
1+73=20|1+19=20
1+73=88|1+79=80
1+74=87|7+74=81
1+75=15|1+15=16
1+75=88|1+79=80
1+76=11|1+16=17
1+76=16|1+75=76
1+76=75|1+75=76
1+76=78|1+78=79
1+76=89|7+76=83
1+77=10|1+17=18
1+77=12|1+71=72
1+77=16|1+17=18
1+77=19|1+17=18
1+78=11|1+70=71
1+78=13|1+18=19
1+78=15|1+18=19
1+78=17|1+76=77
1+78=60|1+79=80
1+78=71|1+76=77
1+78=86|7+78=85
1+78=89|7+78=85
1+78=90|1+79=80
1+79=14|1+73=74
1+79=16|1+75=76
1+79=75|1+75=76
1+79=78|1+78=79
1+79=88|7+79=86
1+8=16|7+8=15
1+8=19|7+8=15
1+80=31|1+90=91
1+80=51|1+60=61
1+80=67|1+80=81
1+80=88|1+88=89
1+80=97|1+80=81
1+81=32|1+91=92
1+81=52|1+61=62
1+81=68|1+67=68
1+81=98|1+97=98
1+82=33|1+92=93
1+82=53|1+62=63
1+82=69|1+82=83
1+82=88|7+82=89
1+82=99|1+82=83
1+83=100|1+99=100
1+83=34|1+93=94
1+83=54|1+63=64
1+83=70|1+69=70
1+83=80|1+89=90
1+83=98|1+89=90
1+84=35|1+94=95
1+84=55|1+64=65
1+84=81|7+84=91
1+84=97|7+84=91
1+85=36|1+95=96
1+85=56|1+65=66
1+85=65|1+65=66
1+85=80|1+85=86
1+85=82|7+85=92
1+85=95|1+95=96
1+85=98|1+85=86
1+86=37|1+96=97
1+86=57|1+66=67
1+86=61|1+66=67
1+86=66|1+85=86
1+86=83|7+86=93
1+86=85|1+85=86
1+86=88|1+88=89
1+86=91|1+96=97
1+86=96|1+85=86
1+86=99|1+98=99
1+87=38|1+97=98
1+87=58|1+67=68
1+87=60|1+67=68
1+87=62|1+81=82
1+87=66|1+67=68
1+87=69|1+67=68
1+87=84|7+87=94
1+87=90|1+97=98
1+87=92|1+81=82
1+87=96|1+97=98
1+87=99|1+97=98
1+88=30|1+89=90
1+88=39|1+98=99
1+88=50|1+89=90
1+88=59|1+68=69
1+88=61|1+80=81
1+88=63|1+68=69
1+88=65|1+68=69
1+88=67|1+86=87
1+88=81|1+86=87
1+88=85|7+88=95
1+88=91|1+80=81
1+88=93|1+98=99
1+88=95|1+98=99
1+88=96|7+88=95
1+88=97|1+86=87
1+88=99|7+88=95
1+89=10|1+69=70
1+89=64|1+83=84
1+89=66|1+85=86
1+89=85|1+85=86
1+89=86|7+89=96
1+89=88|1+88=89
1+89=94|1+83=84
1+89=96|1+85=86
1+89=98|7+89=96
1+89=99|1+89=90
1+9=18|7+9=16
1+90=37|1+90=91
1+90=57|1+90=91
1+90=61|1+60=61
1+90=87|1+80=81
1+90=89|1+98=99
1+90=98|1+98=99
1+91=38|1+37=38
1+91=58|1+57=58
1+91=62|1+61=62
1+91=88|1+97=98
1+92=39|1+92=93
1+92=59|1+92=93
1+92=63|1+62=63
1+92=89|1+82=83
1+92=98|7+92=99
1+93=108|1+99=100
1+93=180|1+99=100
1+93=40|1+39=40
1+93=60|1+59=60
1+93=64|1+63=64
1+93=700|1+99=100
1+94=107|7+94=101
1+94=181|7+94=101
1+94=65|1+64=65
1+94=701|7+94=101
1+94=86|1+84=85
1+94=89|1+84=85
1+95=108|1+99=100
1+95=180|1+99=100
1+95=182|7+95=102
1+95=35|1+35=36
1+95=55|1+55=56
1+95=66|1+65=66
1+95=700|1+99=100
1+95=702|7+95=102
1+95=87|1+96=97
1+95=88|1+85=86
1+96=109|7+96=103
1+96=183|7+96=103
1+96=31|1+36=37
1+96=36|1+95=96
1+96=51|1+56=57
1+96=56|1+95=96
1+96=67|1+66=67
1+96=703|7+96=103
1+96=89|1+98=99
1+96=95|1+95=96
1+96=98|1+98=99
1+97=184|7+97=104
1+97=30|1+37=38
1+97=32|1+91=92
1+97=36|1+37=38
1+97=39|1+37=38
1+97=50|1+57=58
1+97=52|1+91=92
1+97=56|1+57=58
1+97=59|1+57=58
1+97=68|1+67=68
1+97=704|7+97=104
1+98=106|7+98=105
1+98=109|7+98=105
1+98=185|7+98=105
1+98=31|1+90=91
1+98=33|1+38=39
1+98=35|1+38=39
1+98=37|1+96=97
1+98=51|1+90=91
1+98=53|1+58=59
1+98=55|1+58=59
1+98=57|1+96=97
1+98=69|1+68=69
1+98=705|7+98=105
1+98=88|1+88=89
1+98=90|1+89=90
1+98=91|1+96=97
1+99=108|7+99=106
1+99=186|7+99=106
1+99=34|1+93=94
1+99=36|1+95=96
1+99=50|1+59=60
1+99=54|1+93=94
1+99=56|1+95=96
1+99=706|7+99=106
1+99=80|1+89=90
1+99=89|1+98=99
1+99=95|1+95=96
1+99=98|1+89=90
10-1=17|10+1=11
10-1=68|70-1=69
10-1=71|10+1=11
10-1=77|18-1=17
10-1=89|70-1=69
10-10=28|10+10=20
10-10=6|16-10=6
10-10=68|70-10=60
10-10=80|70-10=60
10-10=9|19-10=9
10-11=27|10+11=21
10-11=58|70-11=59
10-11=69|70-11=59
10-11=99|70-11=59
10-12=68|70-12=58
10-12=8|18-12=6
10-12=98|70-12=58
10-13=29|10+13=23
10-13=6|18-13=5
10-13=67|70-13=57
10-13=9|18-13=5
10-13=97|70-13=57
10-14=58|70-14=56
10-14=66|70-14=56
10-14=96|70-14=56
10-15=26|10+15=25
10-15=29|10+15=25
10-15=56|70-15=55
10-15=59|70-15=55
10-15=65|70-15=55
10-15=9|18-15=3
10-15=95|70-15=55
10-16=25|10+15=25
10-16=28|10+16=26
10-16=3|18-15=3
10-16=64|70-16=54
10-16=94|70-16=54
10-17=21|10+11=21
10-17=59|70-11=59
10-17=63|70-17=53
10-17=7|18-11=7
10-17=93|70-17=53
10-18=20|10+10=20
10-18=26|10+16=26
10-18=29|10+19=29
10-18=62|70-18=52
10-18=8|18-10=8
10-18=92|70-18=52
10-19=23|10+13=23
10-19=25|10+15=25
10-19=28|10+19=29
10-19=57|70-13=57
10-19=61|70-19=51
10-19=91|70-19=51
10-2=18|18-2=16
10-2=72|10+2=12
10-2=76|18-2=16
10-2=88|70-2=68
10-20=38|10+20=30
10-20=58|70-20=50
10-20=60|70-20=50
10-20=90|10+20=30
10-21=37|10+21=31
10-21=48|70-21=49
10-21=91|10+21=31
10-22=92|10+22=32
10-23=39|10+23=33
10-23=93|10+23=33
10-24=48|70-24=46
10-24=94|10+24=34
10-25=36|10+25=35
10-25=39|10+25=35
10-25=46|70-25=45
10-25=49|70-25=45
10-25=95|10+25=35
10-26=35|10+25=35
10-26=38|10+26=36
10-26=96|10+26=36
10-27=31|10+21=31
10-27=49|70-21=49
10-27=97|10+27=37
10-28=30|10+20=30
10-28=36|10+26=36
10-28=39|10+29=39
10-28=98|10+28=38
10-29=33|10+23=33
10-29=35|10+25=35
10-29=38|10+29=39
10-29=47|70-23=47
10-29=99|10+29=39
10-3=16|18-3=15
10-3=19|18-3=15
10-3=73|10+3=13
10-3=75|18-3=15
10-3=87|70-3=67
10-30=48|10+30=40
10-31=38|70-31=39
10-31=47|10+31=41
10-31=99|70-31=39
10-32=98|70-32=38
10-33=49|10+33=43
10-33=97|70-33=37
10-34=38|70-34=36
10-34=96|70-34=36
10-35=36|70-35=35
10-35=39|70-35=35
10-35=46|10+35=45
10-35=49|10+35=45
10-35=95|70-35=35
10-36=45|10+35=45
10-36=48|10+36=46
10-36=94|70-36=34
10-37=39|70-31=39
10-37=41|10+31=41
10-37=93|70-37=33
10-38=40|10+30=40
10-38=46|10+36=46
10-38=49|10+39=49
10-38=92|70-38=32
10-39=37|70-33=37
10-39=43|10+33=43
10-39=45|10+35=45
10-39=48|10+39=49
10-39=91|70-39=31
10-4=68|70-4=66
10-4=74|18-4=14
10-4=86|70-4=66
10-40=38|70-40=30
10-40=58|10+40=50
10-40=60|10+40=50
10-40=90|10+40=50
10-41=28|70-41=29
10-41=57|10+41=51
10-41=61|10+41=51
10-41=91|10+41=51
10-42=62|10+42=52
10-42=92|10+42=52
10-43=59|10+43=53
10-43=63|10+43=53
10-43=93|10+43=53
10-44=28|70-44=26
10-44=64|10+44=54
10-44=94|10+44=54
10-45=26|70-45=25
10-45=29|70-45=25
10-45=56|10+45=55
10-45=59|10+45=55
10-45=65|10+45=55
10-45=95|10+45=55
10-46=55|10+45=55
10-46=58|10+46=56
10-46=66|10+46=56
10-46=96|10+46=56
10-47=29|70-41=29
10-47=51|10+41=51
10-47=67|10+47=57
10-47=97|10+47=57
10-48=50|10+40=50
10-48=56|10+46=56
10-48=59|10+49=59
10-48=68|10+48=58
10-48=98|10+48=58
10-49=27|70-43=27
10-49=53|10+43=53
10-49=55|10+45=55
10-49=58|10+49=59
10-49=69|10+49=59
10-49=99|10+49=59
10-5=16|10+5=15
10-5=19|18-5=13
10-5=66|70-5=65
10-5=69|70-5=65
10-5=7|10-3=7
10-5=73|18-5=13
10-5=75|10+5=15
10-5=85|70-5=65
10-50=28|70-50=20
10-50=68|10+50=60
10-50=80|10+50=60
10-51=18|70-51=19
10-51=67|10+51=61
10-51=79|70-51=19
10-51=81|10+51=61
10-52=78|70-52=18
10-52=82|10+52=62
10-53=69|10+53=63
10-53=77|70-53=17
10-53=83|10+53=63
10-54=18|70-54=16
10-54=76|70-54=16
10-54=84|10+54=64
10-55=16|70-55=15
10-55=19|70-55=15
10-55=66|10+55=65
10-55=69|10+55=65
10-55=75|70-55=15
10-55=85|10+55=65
10-56=65|10+55=65
10-56=68|10+56=66
10-56=74|70-56=14
10-56=86|10+56=66
10-57=19|70-51=19
10-57=61|10+51=61
10-57=73|70-57=13
10-57=87|10+57=67
10-58=60|10+50=60
10-58=66|10+56=66
10-58=69|10+59=69
10-58=72|70-58=12
10-58=88|10+58=68
10-59=17|70-53=17
10-59=63|10+53=63
10-59=65|10+55=65
10-59=68|10+59=69
10-59=71|70-59=11
10-59=89|10+59=69
10-6=10|16-6=10
10-6=13|18-5=13
10-6=15|10+5=15
10-6=18|10+6=16
10-6=72|18-6=12
10-6=76|10+6=16
10-6=84|70-6=64
10-60=18|70-60=10
10-60=60|10+50=60
10-60=70|70-60=10
10-60=78|10+60=70
10-61=61|10+51=61
10-61=77|10+61=71
10-61=8|70-61=9
10-62=62|10+52=62
10-63=63|10+53=63
10-63=79|10+63=73
10-64=64|10+54=64
10-64=8|70-64=6
10-65=6|70-65=5
10-65=65|10+55=65
10-65=76|10+65=75
10-65=79|10+65=75
10-65=9|70-65=5
10-66=66|10+56=66
10-66=75|10+65=75
10-66=78|10+66=76
10-67=67|10+57=67
10-67=71|10+61=71
10-67=9|70-61=9
10-68=68|10+58=68
10-68=70|10+60=70
10-68=76|10+66=76
10-68=79|10+69=79
10-69=69|10+59=69
10-69=7|70-63=7
10-69=73|10+63=73
10-69=75|10+65=75
10-69=78|10+69=79
10-7=11|10+1=11
10-7=17|18-1=17
10-7=5|10-1=9
10-7=69|70-1=69
10-7=71|18-7=11
