0+11=17|6+11=17
1+13=16|1+15=16
1+15=14|1+13=14
1+16=11|1+10=11
1+16=20|1+19=20
1+19=11|1+10=11
1+19=17|1+16=17
1+20=27|1+26=27
1+20=30|1+29=30
1+22=24|1+23=24
1+23=23|1+22=23
1+23=26|1+25=26
1+25=24|1+23=24
1+26=21|1+20=21
1+26=30|1+29=30
1+29=21|1+20=21
1+29=27|1+26=27
1+30=37|1+36=37
1+30=40|1+39=40
1+32=34|1+33=34
1+33=33|1+32=33
1+33=36|1+35=36
1+35=34|1+33=34
1+36=31|1+30=31
1+36=40|1+39=40
1+39=31|1+30=31
1+39=37|1+36=37
1+40=47|1+46=47
1+40=50|1+49=50
1+42=44|1+43=44
1+43=43|1+42=43
1+43=46|1+45=46
1+45=44|1+43=44
1+46=41|1+40=41
1+46=50|1+49=50
1+49=41|1+40=41
1+49=47|1+46=47
1+50=57|1+56=57
1+50=60|1+59=60
1+52=54|1+53=54
1+53=53|1+52=53
1+53=56|1+55=56
1+55=54|1+53=54
1+56=51|1+50=51
1+56=60|1+59=60
1+59=51|1+50=51
1+59=57|1+56=57
1+60=67|1+66=67
1+60=70|1+69=70
1+62=64|1+63=64
1+63=63|1+62=63
1+63=66|1+65=66
1+65=64|1+63=64
1+66=61|1+60=61
1+66=70|1+69=70
1+69=61|1+60=61
1+69=67|1+66=67
1+70=77|1+76=77
1+70=80|1+79=80
1+72=74|1+73=74
1+73=73|1+72=73
1+73=76|1+75=76
1+75=74|1+73=74
1+76=71|1+70=71
1+76=80|1+79=80
1+79=71|1+70=71
1+79=77|1+76=77
1+80=87|1+86=87
1+80=90|1+89=90
1+82=84|1+83=84
1+83=83|1+82=83
1+83=86|1+85=86
1+85=84|1+83=84
1+86=81|1+80=81
1+86=90|1+89=90
1+89=81|1+80=81
1+89=87|1+86=87
1+90=100|1+99=100
1+90=97|1+96=97
1+92=94|1+93=94
1+93=93|1+92=93
1+93=96|1+95=96
1+95=94|1+93=94
1+96=100|1+99=100
1+96=91|1+90=91
1+99=91|1+90=91
1+99=97|1+96=97
10-0=1|10-9=1
10-0=4|10-6=4
10-1=15|16-1=15
10-1=18|19-1=18
10-11=5|16-11=5
10-11=8|19-11=8
10-12=4|16-12=4
10-12=7|19-12=7
10-13=3|16-13=3
10-14=2|16-14=2
10-14=5|19-14=5
10-15=1|16-15=1
10-15=4|19-15=4
10-17=2|19-17=2
10-18=1|19-18=1
10-2=14|16-2=14
10-2=17|19-2=17
10-2=7|10-3=7
10-3=13|16-3=13
10-3=5|10-5=5
10-3=8|10-2=8
10-4=12|16-4=12
10-4=15|19-4=15
10-5=11|16-5=11
10-5=14|19-5=14
10-6=1|10-9=1
10-7=12|19-7=12
10-7=9|16-7=9
10-8=11|19-8=11
10-8=8|16-8=8
10-9=4|10-6=4
10-9=7|16-9=7
10+1=20|19+1=20
10+11=27|16+11=27
10+11=30|19+11=30
10+12=28|16+12=28
10+12=31|19+12=31
10+13=29|16+13=29
10+13=32|19+13=32
10+14=30|16+14=30
10+14=33|19+14=33
10+15=31|16+15=31
10+15=34|19+15=34
10+16=32|16+16=32
10+16=35|19+16=35
10+17=33|16+17=33
10+19=35|16+19=35
10+19=38|19+19=38
10+2=18|16+2=18
10+2=21|19+2=21
10+21=37|16+21=37
10+21=40|19+21=40
10+22=38|16+22=38
10+22=41|19+22=41
10+23=39|16+23=39
10+23=42|19+23=42
10+24=40|16+24=40
10+24=43|19+24=43
10+25=41|16+25=41
10+25=44|19+25=44
10+26=42|16+26=42
10+26=45|19+26=45
10+29=45|16+29=45
10+29=48|19+29=48
10+3=19|16+3=19
10+3=22|19+3=22
10+31=47|16+31=47
10+31=50|19+31=50
10+32=48|16+32=48
10+32=51|19+32=51
10+33=49|16+33=49
10+33=52|19+33=52
10+34=50|16+34=50
10+34=53|19+34=53
10+35=51|16+35=51
10+35=54|19+35=54
10+36=52|16+36=52
10+36=55|19+36=55
10+37=53|16+37=53
10+39=55|16+39=55
10+39=58|19+39=58
10+4=20|16+4=20
10+4=23|19+4=23
10+41=57|16+41=57
10+41=60|19+41=60
10+42=58|16+42=58
10+42=61|19+42=61
10+43=59|16+43=59
10+43=62|19+43=62
10+44=60|16+44=60
10+44=63|19+44=63
10+45=61|16+45=61
10+45=64|19+45=64
10+46=62|16+46=62
10+47=63|16+47=63
10+5=21|16+5=21
10+5=24|19+5=24
10+51=67|16+51=67
10+51=70|19+51=70
10+52=68|16+52=68
10+52=71|19+52=71
10+53=69|16+53=69
10+53=72|19+53=72
10+54=70|16+54=70
10+54=73|19+54=73
10+55=71|16+55=71
10+55=74|19+55=74
10+56=72|16+56=72
10+57=73|16+57=73
10+6=22|16+6=22
10+6=25|19+6=25
10+61=77|16+61=77
10+61=80|19+61=80
10+62=78|16+62=78
10+62=81|19+62=81
10+63=79|16+63=79
10+63=82|19+63=82
10+64=80|16+64=80
10+64=83|19+64=83
10+65=81|16+65=81
10+65=84|19+65=84
10+66=82|16+66=82
10+66=85|19+66=85
10+67=83|16+67=83
10+69=85|16+69=85
10+69=88|19+69=88
10+7=23|16+7=23
10+71=87|16+71=87
10+71=90|19+71=90
10+72=88|16+72=88
10+72=91|19+72=91
10+73=89|16+73=89
10+73=92|19+73=92
10+74=90|16+74=90
10+74=93|19+74=93
10+75=91|16+75=91
10+75=94|19+75=94
10+76=92|16+76=92
10+77=93|16+77=93
10+81=100|19+81=100
10+81=97|16+81=97
10+82=101|19+82=101
10+82=98|16+82=98
10+83=102|19+83=102
10+83=99|16+83=99
10+84=100|16+84=100
10+84=103|19+84=103
10+85=101|16+85=101
10+85=104|19+85=104
10+86=102|16+86=102
10+87=103|16+87=103
10+9=25|16+9=25
10+9=28|19+9=28
10+91=107|16+91=107
10+91=110|19+91=110
10+92=108|16+92=108
10+92=111|19+92=111
10+93=109|16+93=109
10+93=112|19+93=112
10+94=110|16+94=110
10+94=113|19+94=113
10+95=111|16+95=111
10+95=114|19+95=114
10+96=112|16+96=112
10+96=115|19+96=115
10+97=113|16+97=113
10+99=115|16+99=115
10+99=118|19+99=118
11-0=2|11-9=2
11-0=5|11-6=5
11-16=1|11-10=1
11-19=1|11-10=1
11-2=8|11-3=8
11-3=6|11-5=6
11-3=9|11-2=9
11-5=8|11-3=8
11-6=2|11-9=2
11+0=20|11+9=20
11+10=27|11+16=27
11+10=30|11+19=30
11+12=24|11+13=24
11+13=23|11+12=23
11+13=26|11+15=26
11+15=24|11+13=24
11+16=21|11+10=21
11+16=30|11+19=30
11+19=21|11+10=21
11+19=27|11+16=27
11+2=14|11+3=14
11+20=37|11+26=37
11+20=40|11+29=40
11+22=34|11+23=34
11+23=33|11+22=33
11+23=36|11+25=36
11+25=34|11+23=34
11+26=31|11+20=31
11+26=40|11+29=40
11+29=31|11+20=31
11+29=37|11+26=37
11+3=13|11+2=13
11+3=16|11+5=16
11+30=47|11+36=47
11+30=50|11+39=50
11+32=44|11+33=44
11+33=43|11+32=43
11+33=46|11+35=46
11+35=44|11+33=44
11+36=41|11+30=41
11+36=50|11+39=50
11+39=41|11+30=41
11+39=47|11+36=47
11+40=57|11+46=57
11+40=60|11+49=60
11+42=54|11+43=54
11+43=53|11+42=53
11+43=56|11+45=56
11+45=54|11+43=54
11+46=51|11+40=51
11+46=60|11+49=60
11+49=51|11+40=51
11+49=57|11+46=57
11+5=14|11+3=14
11+50=67|11+56=67
11+50=70|11+59=70
11+52=64|11+53=64
11+53=63|11+52=63
11+53=66|11+55=66
11+55=64|11+53=64
11+56=61|11+50=61
11+56=70|11+59=70
11+59=61|11+50=61
11+59=67|11+56=67
11+6=20|11+9=20
11+60=77|11+66=77
11+60=80|11+69=80
11+62=74|11+63=74
11+63=73|11+62=73
11+63=76|11+65=76
11+65=74|11+63=74
11+66=71|11+60=71
11+66=80|11+69=80
11+69=71|11+60=71
11+69=77|11+66=77
11+70=87|11+76=87
11+70=90|11+79=90
11+72=84|11+73=84
11+73=83|11+72=83
11+73=86|11+75=86
11+75=84|11+73=84
11+76=81|11+70=81
11+76=90|11+79=90
11+79=81|11+70=81
11+79=87|11+76=87
11+80=100|11+89=100
11+80=97|11+86=97
11+82=94|11+83=94
11+83=93|11+82=93
11+83=96|11+85=96
11+85=94|11+83=94
11+86=100|11+89=100
11+86=91|11+80=91
11+89=91|11+80=91
11+89=97|11+86=97
11+9=17|11+6=17
11+90=107|11+96=107
11+90=110|11+99=110
11+92=104|11+93=104
11+93=103|11+92=103
11+93=106|11+95=106
11+95=104|11+93=104
11+96=101|11+90=101
11+96=110|11+99=110
11+99=101|11+90=101
11+99=107|11+96=107
12-0=3|12-9=3
12-0=6|12-6=6
12-1=12|13-1=12
12-11=2|13-11=2
12-12=1|13-12=1
12-16=2|12-10=2
12-19=2|12-10=2
12-2=11|13-2=11
12-2=9|12-3=9
12-3=7|12-5=7
12-4=9|13-4=9
12-6=3|12-9=3
12-6=7|13-6=7
12-7=6|13-7=6
12-9=4|13-9=4
12-9=6|12-6=6
12+0=18|12+6=18
12+0=21|12+9=21
12+1=14|13+1=14
12+10=28|12+16=28
12+10=31|12+19=31
12+11=24|13+11=24
12+13=24|12+12=24
12+13=26|13+13=26
12+13=27|12+15=27
12+14=27|13+14=27
12+15=25|12+13=25
12+15=28|13+15=28
12+16=22|12+10=22
12+16=29|13+16=29
12+16=31|12+19=31
12+17=30|13+17=30
12+18=31|13+18=31
12+19=22|12+10=22
12+19=28|12+16=28
12+19=32|13+19=32
12+20=38|12+26=38
12+20=41|12+29=41
12+21=34|13+21=34
12+23=34|12+22=34
12+23=36|13+23=36
12+23=37|12+25=37
12+24=37|13+24=37
12+25=35|12+23=35
12+25=38|13+25=38
12+26=32|12+20=32
12+26=39|13+26=39
12+26=41|12+29=41
12+27=40|13+27=40
12+28=41|13+28=41
12+29=32|12+20=32
12+29=38|12+26=38
12+29=42|13+29=42
12+3=14|12+2=14
12+3=16|13+3=16
12+3=17|12+5=17
12+30=48|12+36=48
12+30=51|12+39=51
12+31=44|13+31=44
12+33=44|12+32=44
12+33=46|13+33=46
12+33=47|12+35=47
12+34=47|13+34=47
12+35=45|12+33=45
12+35=48|13+35=48
12+36=42|12+30=42
12+36=49|13+36=49
12+36=51|12+39=51
12+37=50|13+37=50
12+38=51|13+38=51
12+39=42|12+30=42
12+39=48|12+36=48
12+39=52|13+39=52
12+4=17|13+4=17
12+40=58|12+46=58
12+40=61|12+49=61
12+41=54|13+41=54
12+43=54|12+42=54
12+43=56|13+43=56
12+43=57|12+45=57
12+44=57|13+44=57
12+45=55|12+43=55
12+45=58|13+45=58
12+46=52|12+40=52
12+46=59|13+46=59
12+46=61|12+49=61
12+47=60|13+47=60
12+48=61|13+48=61
12+49=52|12+40=52
12+49=58|12+46=58
12+49=62|13+49=62
12+5=15|12+3=15
12+5=18|13+5=18
12+50=68|12+56=68
12+50=71|12+59=71
12+51=64|13+51=64
12+53=64|12+52=64
12+53=66|13+53=66
12+53=67|12+55=67
12+54=67|13+54=67
12+55=65|12+53=65
12+55=68|13+55=68
12+56=62|12+50=62
12+56=69|13+56=69
12+56=71|12+59=71
12+57=70|13+57=70
12+58=71|13+58=71
12+59=62|12+50=62
12+59=68|12+56=68
12+59=72|13+59=72
12+6=19|13+6=19
12+6=21|12+9=21
12+60=78|12+66=78
12+60=81|12+69=81
12+61=74|13+61=74
12+63=74|12+62=74
12+63=76|13+63=76
12+63=77|12+65=77
12+64=77|13+64=77
12+65=75|12+63=75
12+65=78|13+65=78
12+66=72|12+60=72
12+66=79|13+66=79
12+66=81|12+69=81
12+67=80|13+67=80
12+68=81|13+68=81
12+69=72|12+60=72
12+69=78|12+66=78
12+69=82|13+69=82
12+7=20|13+7=20
12+70=88|12+76=88
12+70=91|12+79=91
12+71=84|13+71=84
12+73=84|12+72=84
12+73=86|13+73=86
12+73=87|12+75=87
12+74=87|13+74=87
12+75=85|12+73=85
12+75=88|13+75=88
12+76=82|12+70=82
12+76=89|13+76=89
12+76=91|12+79=91
12+77=90|13+77=90
12+78=91|13+78=91
12+79=82|12+70=82
12+79=88|12+76=88
12+79=92|13+79=92
12+8=21|13+8=21
12+80=101|12+89=101
12+80=98|12+86=98
12+81=94|13+81=94
12+83=94|12+82=94
12+83=96|13+83=96
12+83=97|12+85=97
12+84=97|13+84=97
12+85=95|12+83=95
12+85=98|13+85=98
12+86=101|12+89=101
12+86=92|12+80=92
12+86=99|13+86=99
12+87=100|13+87=100
12+88=101|13+88=101
12+89=102|13+89=102
12+89=92|12+80=92
12+89=98|12+86=98
12+9=18|12+6=18
12+9=22|13+9=22
12+90=108|12+96=108
12+90=111|12+99=111
12+91=104|13+91=104
12+93=104|12+92=104
12+93=106|13+93=106
12+93=107|12+95=107
12+94=107|13+94=107
12+95=105|12+93=105
12+95=108|13+95=108
12+96=102|12+90=102
12+96=109|13+96=109
12+96=111|12+99=111
12+97=110|13+97=110
12+98=111|13+98=111
12+99=102|12+90=102
12+99=108|12+96=108
12+99=112|13+99=112
13-0=4|13-9=4
13-0=7|13-6=7
13-1=11|12-1=11
13-1=14|15-1=14
13-11=1|12-11=1
13-11=4|15-11=4
13-12=3|15-12=3
13-13=1|13-12=1
13-13=2|15-13=2
13-14=1|15-14=1
13-16=3|13-10=3
13-19=3|13-10=3
13-2=13|15-2=13
13-3=11|13-2=11
13-3=12|15-3=12
13-3=8|13-5=8
13-3=9|12-3=9
13-4=11|15-4=11
13-4=8|12-4=8
13-5=7|12-5=7
13-6=4|13-9=4
13-7=5|12-7=5
13-7=8|15-7=8
13-8=4|12-8=4
13-8=7|15-8=7
13-9=3|12-9=3
13-9=7|13-6=7
13+0=22|13+9=22
13+1=13|12+1=13
13+1=16|15+1=16
13+10=29|13+16=29
13+10=32|13+19=32
13+11=23|12+11=23
13+11=26|15+11=26
13+12=24|12+12=24
13+12=26|13+13=26
13+12=27|15+12=27
13+14=26|12+14=26
13+14=29|15+14=29
13+15=26|13+13=26
13+15=27|12+15=27
13+15=30|15+15=30
13+16=23|13+10=23
13+16=28|12+16=28
13+16=31|15+16=31
13+16=32|13+19=32
13+17=29|12+17=29
13+17=32|15+17=32
13+18=30|12+18=30
13+18=33|15+18=33
13+19=23|13+10=23
13+19=31|12+19=31
13+2=14|12+2=14
13+2=16|13+3=16
13+20=39|13+26=39
13+20=42|13+29=42
13+21=33|12+21=33
13+21=36|15+21=36
13+22=34|12+22=34
13+22=36|13+23=36
13+22=37|15+22=37
13+24=36|12+24=36
13+24=39|15+24=39
13+25=36|13+23=36
13+25=37|12+25=37
13+25=40|15+25=40
13+26=33|13+20=33
13+26=38|12+26=38
13+26=41|15+26=41
13+26=42|13+29=42
13+27=39|12+27=39
13+27=42|15+27=42
13+28=40|12+28=40
13+28=43|15+28=43
13+29=33|13+20=33
13+29=41|12+29=41
13+30=49|13+36=49
13+30=52|13+39=52
13+31=43|12+31=43
13+31=46|15+31=46
13+32=44|12+32=44
13+32=46|13+33=46
13+32=47|15+32=47
13+34=46|12+34=46
13+34=49|15+34=49
13+35=46|13+33=46
13+35=47|12+35=47
13+35=50|15+35=50
13+36=43|13+30=43
13+36=48|12+36=48
13+36=51|15+36=51
13+36=52|13+39=52
13+37=49|12+37=49
13+37=52|15+37=52
13+38=50|12+38=50
13+38=53|15+38=53
13+39=43|13+30=43
13+39=51|12+39=51
13+4=16|12+4=16
13+4=19|15+4=19
13+40=59|13+46=59
13+40=62|13+49=62
13+41=53|12+41=53
13+41=56|15+41=56
13+42=54|12+42=54
13+42=56|13+43=56
13+42=57|15+42=57
13+44=56|12+44=56
13+44=59|15+44=59
13+45=56|13+43=56
13+45=57|12+45=57
13+46=53|13+40=53
13+46=58|12+46=58
13+46=61|15+46=61
13+46=62|13+49=62
13+47=59|12+47=59
13+47=62|15+47=62
13+48=60|12+48=60
13+48=63|15+48=63
13+49=53|13+40=53
13+49=61|12+49=61
13+5=16|13+3=16
13+5=17|12+5=17
13+5=20|15+5=20
13+50=69|13+56=69
13+50=72|13+59=72
13+51=63|12+51=63
13+51=66|15+51=66
13+52=64|12+52=64
13+52=66|13+53=66
13+52=67|15+52=67
13+54=66|12+54=66
13+54=69|15+54=69
13+55=66|13+53=66
13+55=67|12+55=67
13+55=70|15+55=70
13+56=63|13+50=63
13+56=68|12+56=68
13+56=71|15+56=71
13+56=72|13+59=72
13+57=69|12+57=69
13+57=72|15+57=72
13+58=70|12+58=70
13+59=63|13+50=63
13+59=71|12+59=71
13+6=18|12+6=18
13+6=21|15+6=21
13+6=22|13+9=22
13+60=79|13+66=79
13+60=82|13+69=82
13+61=73|12+61=73
13+61=76|15+61=76
13+62=74|12+62=74
13+62=76|13+63=76
13+62=77|15+62=77
13+64=76|12+64=76
13+64=79|15+64=79
13+65=76|13+63=76
13+65=77|12+65=77
13+65=80|15+65=80
13+66=73|13+60=73
13+66=78|12+66=78
13+66=81|15+66=81
13+66=82|13+69=82
13+67=79|12+67=79
13+67=82|15+67=82
13+68=80|12+68=80
13+68=83|15+68=83
13+69=73|13+60=73
13+69=81|12+69=81
13+7=19|12+7=19
13+7=22|15+7=22
13+70=89|13+76=89
13+70=92|13+79=92
13+71=83|12+71=83
13+71=86|15+71=86
13+72=84|12+72=84
13+72=86|13+73=86
13+72=87|15+72=87
13+74=86|12+74=86
13+74=89|15+74=89
13+75=86|13+73=86
13+75=87|12+75=87
13+75=90|15+75=90
13+76=83|13+70=83
13+76=88|12+76=88
13+76=91|15+76=91
13+76=92|13+79=92
13+77=89|12+77=89
13+77=92|15+77=92
13+78=90|12+78=90
13+79=83|13+70=83
13+79=91|12+79=91
13+8=20|12+8=20
13+8=23|15+8=23
13+80=102|13+89=102
13+80=99|13+86=99
13+81=93|12+81=93
13+81=96|15+81=96
13+82=94|12+82=94
13+82=96|13+83=96
13+82=97|15+82=97
13+84=96|12+84=96
13+84=99|15+84=99
13+85=96|13+83=96
13+85=97|12+85=97
13+86=101|15+86=101
13+86=102|13+89=102
13+86=93|13+80=93
13+86=98|12+86=98
13+87=102|15+87=102
13+87=99|12+87=99
13+88=100|12+88=100
13+88=103|15+88=103
13+89=101|12+89=101
13+89=93|13+80=93
13+9=21|12+9=21
13+90=109|13+96=109
13+90=112|13+99=112
13+91=103|12+91=103
13+91=106|15+91=106
13+92=104|12+92=104
13+92=106|13+93=106
13+92=107|15+92=107
13+94=106|12+94=106
13+94=109|15+94=109
13+95=106|13+93=106
13+95=107|12+95=107
13+95=110|15+95=110
13+96=103|13+90=103
13+96=108|12+96=108
13+96=111|15+96=111
13+96=112|13+99=112
13+97=109|12+97=109
13+97=112|15+97=112
13+98=110|12+98=110
13+98=113|15+98=113
13+99=103|13+90=103
13+99=111|12+99=111
14-0=5|14-9=5
14-12=1|14-13=1
14-13=2|14-12=2
14-15=1|14-13=1
14-16=4|14-10=4
14-19=4|14-10=4
14-2=11|14-3=11
14-3=12|14-2=12
14-5=11|14-3=11
14+0=20|14+6=20
14+0=23|14+9=23
14+10=30|14+16=30
14+10=33|14+19=33
14+12=27|14+13=27
14+13=26|14+12=26
14+13=29|14+15=29
14+15=27|14+13=27
14+16=24|14+10=24
14+16=33|14+19=33
14+19=24|14+10=24
14+19=30|14+16=30
14+2=17|14+3=17
14+20=40|14+26=40
14+20=43|14+29=43
14+22=37|14+23=37
14+23=36|14+22=36
14+23=39|14+25=39
14+25=37|14+23=37
14+26=34|14+20=34
14+26=43|14+29=43
14+29=34|14+20=34
14+29=40|14+26=40
14+3=16|14+2=16
14+3=19|14+5=19
14+30=50|14+36=50
14+30=53|14+39=53
14+32=47|14+33=47
14+33=46|14+32=46
14+33=49|14+35=49
14+35=47|14+33=47
14+36=44|14+30=44
14+36=53|14+39=53
14+39=44|14+30=44
14+39=50|14+36=50
14+40=60|14+46=60
14+40=63|14+49=63
14+42=57|14+43=57
14+43=56|14+42=56
14+43=59|14+45=59
14+45=57|14+43=57
14+46=54|14+40=54
14+46=63|14+49=63
14+49=54|14+40=54
14+49=60|14+46=60
14+5=17|14+3=17
14+50=70|14+56=70
14+50=73|14+59=73
14+52=67|14+53=67
14+53=66|14+52=66
14+53=69|14+55=69
14+55=67|14+53=67
14+56=64|14+50=64
14+56=73|14+59=73
14+59=64|14+50=64
14+59=70|14+56=70
14+6=23|14+9=23
14+60=80|14+66=80
14+60=83|14+69=83
14+62=77|14+63=77
14+63=76|14+62=76
14+63=79|14+65=79
14+65=77|14+63=77
14+66=74|14+60=74
14+66=83|14+69=83
14+69=74|14+60=74
14+69=80|14+66=80
14+70=90|14+76=90
14+70=93|14+79=93
14+72=87|14+73=87
14+73=86|14+72=86
14+73=89|14+75=89
14+75=87|14+73=87
14+76=84|14+70=84
14+76=93|14+79=93
14+79=84|14+70=84
14+79=90|14+76=90
14+80=100|14+86=100
14+80=103|14+89=103
14+82=97|14+83=97
14+83=96|14+82=96
14+83=99|14+85=99
14+85=97|14+83=97
14+86=103|14+89=103
14+86=94|14+80=94
14+89=100|14+86=100
14+89=94|14+80=94
14+9=20|14+6=20
14+90=110|14+96=110
14+90=113|14+99=113
14+92=107|14+93=107
14+93=106|14+92=106
14+93=109|14+95=109
14+95=107|14+93=107
14+96=104|14+90=104
14+96=113|14+99=113
14+99=104|14+90=104
14+99=110|14+96=110
15-0=6|15-9=6
15-0=9|15-6=9
15-1=12|13-1=12
15-11=2|13-11=2
15-12=1|13-12=1
15-15=2|15-13=2
15-16=5|15-10=5
15-19=5|15-10=5
15-2=11|13-2=11
15-4=9|13-4=9
15-5=12|15-3=12
15-6=7|13-6=7
15-7=6|13-7=6
15-9=4|13-9=4
15+0=21|15+6=21
15+0=24|15+9=24
15+1=14|13+1=14
15+10=31|15+16=31
15+10=34|15+19=34
15+11=24|13+11=24
15+12=25|13+12=25
15+12=28|15+13=28
15+13=26|13+13=26
15+13=27|15+12=27
15+13=30|15+15=30
15+14=27|13+14=27
15+16=25|15+10=25
15+16=29|13+16=29
15+18=31|13+18=31
15+19=25|15+10=25
15+2=15|13+2=15
15+2=18|15+3=18
15+20=41|15+26=41
15+20=44|15+29=44
15+21=34|13+21=34
15+22=35|13+22=35
15+22=38|15+23=38
15+23=36|13+23=36
15+23=37|15+22=37
15+23=40|15+25=40
15+24=37|13+24=37
15+26=35|15+20=35
15+26=39|13+26=39
15+28=41|13+28=41
15+29=35|15+20=35
15+3=17|15+2=17
15+3=20|15+5=20
15+30=51|15+36=51
15+30=54|15+39=54
15+32=45|13+32=45
15+32=48|15+33=48
15+33=46|13+33=46
15+33=47|15+32=47
15+33=50|15+35=50
15+34=47|13+34=47
15+36=45|15+30=45
15+36=49|13+36=49
15+38=51|13+38=51
15+39=45|15+30=45
15+4=17|13+4=17
15+40=61|15+46=61
15+40=64|15+49=64
15+41=54|13+41=54
15+42=55|13+42=55
15+42=58|15+43=58
15+43=56|13+43=56
15+43=57|15+42=57
15+44=57|13+44=57
15+46=55|15+40=55
15+46=59|13+46=59
15+48=61|13+48=61
15+49=55|15+40=55
15+50=71|15+56=71
15+50=74|15+59=74
15+51=64|13+51=64
15+52=65|13+52=65
15+52=68|15+53=68
15+53=66|13+53=66
15+53=67|15+52=67
15+53=70|15+55=70
15+54=67|13+54=67
15+56=65|15+50=65
15+56=69|13+56=69
15+58=71|13+58=71
15+59=65|15+50=65
15+6=19|13+6=19
15+60=81|15+66=81
15+60=84|15+69=84
15+61=74|13+61=74
15+62=75|13+62=75
15+62=78|15+63=78
15+63=76|13+63=76
15+63=77|15+62=77
15+63=80|15+65=80
15+64=77|13+64=77
15+66=79|13+66=79
15+68=81|13+68=81
15+70=91|15+76=91
15+70=94|15+79=94
15+71=84|13+71=84
15+72=85|13+72=85
15+72=88|15+73=88
15+73=86|13+73=86
15+73=87|15+72=87
15+73=90|15+75=90
15+74=87|13+74=87
15+76=89|13+76=89
15+78=91|13+78=91
15+8=21|13+8=21
15+80=101|15+86=101
15+80=104|15+89=104
15+81=94|13+81=94
15+82=95|13+82=95
15+82=98|15+83=98
15+83=96|13+83=96
15+83=97|15+82=97
15+84=97|13+84=97
15+86=95|15+80=95
15+86=99|13+86=99
15+88=101|13+88=101
15+89=95|15+80=95
15+90=111|15+96=111
15+90=114|15+99=114
15+91=104|13+91=104
15+92=105|13+92=105
15+92=108|15+93=108
15+93=106|13+93=106
15+93=107|15+92=107
15+93=110|15+95=110
15+94=107|13+94=107
15+96=105|15+90=105
15+96=109|13+96=109
15+98=111|13+98=111
15+99=105|15+90=105
16-1=18|19-1=18
16-1=9|10-1=9
16-11=8|19-11=8
16-12=3|16-13=3
16-12=7|19-12=7
16-13=1|16-15=1
16-13=4|16-12=4
16-14=5|19-14=5
