0-7=7|8-1=7
15-18=3|19-16=3
15-18=6|16-10=6
15-18=9|19-10=9
15-19=1|16-15=1
15-19=3|16-13=3
15-19=4|19-15=4
15-19=6|19-13=6
15-6=11|16-5=11
15-6=14|19-5=14
15-7=15|16-1=15
15-7=18|19-1=18
15-8=13|19-6=13
15-9=11|16-5=11
15-9=13|16-3=13
15-9=14|19-5=14
15-9=16|19-3=16
15+17=27|16+11=27
15+18=26|16+10=26
15+18=29|19+10=29
15+18=38|19+19=38
15+27=37|16+21=37
15+28=36|16+20=36
15+28=39|19+20=39
15+28=48|19+29=48
15+37=47|16+31=47
15+38=46|16+30=46
15+38=49|19+30=49
15+38=58|19+39=58
15+47=57|16+41=57
15+48=56|16+40=56
15+48=68|19+49=68
15+57=67|16+51=67
15+58=66|16+50=66
15+58=69|19+50=69
15+58=78|19+59=78
15+67=77|16+61=77
15+68=76|16+60=76
15+68=79|19+60=79
15+68=88|19+69=88
15+7=17|16+1=17
15+77=87|16+71=87
15+78=86|16+70=86
15+78=89|19+70=89
15+78=98|19+79=98
15+8=28|19+9=28
15+87=97|16+81=97
15+88=108|19+89=108
15+88=96|16+80=96
15+88=99|19+80=99
15+97=107|16+91=107
15+98=106|16+90=106
15+98=118|19+99=118
16-18=2|18-16=2
16-19=3|18-15=3
16-19=5|18-13=5
16-3=6|15-9=6
16-5=6|15-9=6
16-5=9|15-6=9
16-8=12|18-6=12
16-8=9|18-9=9
16-9=13|18-5=13
16-9=15|18-3=15
16+0=23|15+8=23
16+1=22|15+7=22
16+10=33|15+18=33
16+11=32|15+17=32
16+13=34|15+19=34
16+17=29|18+11=29
16+19=31|18+13=31
16+20=43|15+28=43
16+21=42|15+27=42
16+23=44|15+29=44
16+27=39|18+21=39
16+29=41|18+23=41
16+3=24|15+9=24
16+30=53|15+38=53
16+31=52|15+37=52
16+33=54|15+39=54
16+37=49|18+31=49
16+39=51|18+33=51
16+40=63|15+48=63
16+41=62|15+47=62
16+43=64|15+49=64
16+49=61|18+43=61
16+50=73|15+58=73
16+51=72|15+57=72
16+53=74|15+59=74
16+57=69|18+51=69
16+59=71|18+53=71
16+60=83|15+68=83
16+61=82|15+67=82
16+63=84|15+69=84
16+67=79|18+61=79
16+69=81|18+63=81
16+7=19|18+1=19
16+70=93|15+78=93
16+71=92|15+77=92
16+73=94|15+79=94
16+77=89|18+71=89
16+79=91|18+73=91
16+80=103|15+88=103
16+81=102|15+87=102
16+83=104|15+89=104
16+87=99|18+81=99
16+89=101|18+83=101
16+9=21|18+3=21
16+90=113|15+98=113
16+91=112|15+97=112
16+93=114|15+99=114
16+99=111|18+93=111
17-0=3|11-8=3
17-1=4|11-7=4
17-3=2|11-9=2
17-5=2|11-9=2
17-6=3|11-8=3
17-9=3|11-8=3
17+0=19|11+8=19
17+10=29|11+18=29
17+15=27|11+16=27
17+16=29|11+18=29
17+19=29|11+18=29
17+20=39|11+28=39
17+25=37|11+26=37
17+26=39|11+28=39
17+29=39|11+28=39
17+30=49|11+38=49
17+35=47|11+36=47
17+36=49|11+38=49
17+39=49|11+38=49
17+40=59|11+48=59
17+45=57|11+46=57
17+49=59|11+48=59
17+5=17|11+6=17
17+50=69|11+58=69
17+55=67|11+56=67
17+56=69|11+58=69
17+59=69|11+58=69
17+6=19|11+8=19
17+60=79|11+68=79
17+65=77|11+66=77
17+66=79|11+68=79
17+69=79|11+68=79
17+70=89|11+78=89
17+75=87|11+76=87
17+76=89|11+78=89
17+79=89|11+78=89
17+80=99|11+88=99
17+85=97|11+86=97
17+86=99|11+88=99
17+89=99|11+88=99
17+9=19|11+8=19
17+90=109|11+98=109
17+95=107|11+96=107
17+99=109|11+98=109
18-0=11|19-8=11
18-0=2|10-8=2
18-0=8|16-8=8
18-1=12|19-7=12
18-1=9|16-7=9
18-10=1|19-18=1
18-11=2|19-17=2
18-16=1|19-18=1
18-19=1|19-18=1
18-3=10|19-9=10
18-3=7|16-9=7
18-5=1|10-9=1
18-5=4|10-6=4
18-5=7|16-9=7
18-6=11|19-8=11
18-6=2|10-8=2
18-6=8|16-8=8
18-9=11|19-8=11
18-9=2|10-8=2
18-9=8|16-8=8
18+1=17|10+7=17
18+1=23|16+7=23
18+11=27|10+17=27
18+11=33|16+17=33
18+13=29|10+19=29
18+13=35|16+19=35
18+13=38|19+19=38
18+15=26|10+16=26
18+15=29|10+19=29
18+15=38|19+19=38
18+21=37|10+27=37
18+21=43|16+27=43
18+23=39|10+29=39
18+23=45|16+29=45
18+23=48|19+29=48
18+25=36|10+26=36
18+25=39|10+29=39
18+25=48|19+29=48
18+3=19|10+9=19
18+3=25|16+9=25
18+3=28|19+9=28
18+31=53|16+37=53
18+33=49|10+39=49
18+33=55|16+39=55
18+33=58|19+39=58
18+35=46|10+36=46
18+35=49|10+39=49
18+35=58|19+39=58
18+41=57|10+47=57
18+43=59|10+49=59
18+43=65|16+49=65
18+43=68|19+49=68
18+45=56|10+46=56
18+45=68|19+49=68
18+5=16|10+6=16
18+5=19|10+9=19
18+5=28|19+9=28
18+51=67|10+57=67
18+51=73|16+57=73
18+53=69|10+59=69
18+53=75|16+59=75
18+53=78|19+59=78
18+55=66|10+56=66
18+55=69|10+59=69
18+55=78|19+59=78
18+61=77|10+67=77
18+61=83|16+67=83
18+63=79|10+69=79
18+63=85|16+69=85
18+63=88|19+69=88
18+65=76|10+66=76
18+65=79|10+69=79
18+65=88|19+69=88
18+71=87|10+77=87
18+71=93|16+77=93
18+73=89|10+79=89
18+73=95|16+79=95
18+73=98|19+79=98
18+75=86|10+76=86
18+75=89|10+79=89
18+75=98|19+79=98
18+81=97|10+87=97
18+83=105|16+89=105
18+83=108|19+89=108
18+83=99|10+89=99
18+85=108|19+89=108
18+85=96|10+86=96
18+85=99|10+89=99
18+91=107|10+97=107
18+91=113|16+97=113
18+93=109|10+99=109
18+93=115|16+99=115
18+93=118|19+99=118
18+95=106|10+96=106
18+95=118|19+99=118
19-0=5|13-8=5
19-0=7|15-8=7
19-1=6|13-7=6
19-1=8|15-7=8
19-18=2|18-16=2
19-3=4|13-9=4
19-3=6|15-9=6
19-5=4|13-9=4
19-5=7|13-6=7
19-6=7|15-8=7
19-8=12|18-6=12
19-8=9|18-9=9
19+0=21|13+8=21
19+0=23|15+8=23
19+1=22|15+7=22
19+10=31|13+18=31
19+10=33|15+18=33
19+11=32|15+17=32
19+16=31|13+18=31
19+17=29|18+11=29
19+20=41|13+28=41
19+20=43|15+28=43
19+21=42|15+27=42
19+26=41|13+28=41
19+27=39|18+21=39
19+30=51|13+38=51
19+30=53|15+38=53
19+31=52|15+37=52
19+36=51|13+38=51
19+37=49|18+31=49
19+40=61|13+48=61
19+41=62|15+47=62
19+46=61|13+48=61
19+47=59|18+41=59
19+50=71|13+58=71
19+51=72|15+57=72
19+56=71|13+58=71
19+57=69|18+51=69
19+6=21|13+8=21
19+60=81|13+68=81
19+60=83|15+68=83
19+61=82|15+67=82
19+66=81|13+68=81
19+67=79|18+61=79
19+7=19|18+1=19
19+70=91|13+78=91
19+71=92|15+77=92
19+76=91|13+78=91
19+77=89|18+71=89
19+80=101|13+88=101
19+81=102|15+87=102
19+86=101|13+88=101
19+87=99|18+81=99
19+90=111|13+98=111
19+90=113|15+98=113
19+91=112|15+97=112
19+96=111|13+98=111
19+97=109|18+91=109
20-18=9|28-19=9
20-19=13|28-15=13
20-19=15|28-13=15
20-29=3|28-25=3
20-29=5|28-23=5
20-8=19|28-9=19
20+16=43|28+15=43
20+17=39|28+11=39
20+19=41|28+13=41
20+19=43|28+15=43
20+26=53|28+25=53
20+27=49|28+21=49
20+29=51|28+23=51
20+29=53|28+25=53
20+36=63|28+35=63
20+37=59|28+31=59
20+39=61|28+33=61
20+46=73|28+45=73
20+47=69|28+41=69
20+49=71|28+43=71
20+49=73|28+45=73
20+56=83|28+55=83
20+57=79|28+51=79
20+59=81|28+53=81
20+6=33|28+5=33
20+66=93|28+65=93
20+67=89|28+61=89
20+69=91|28+63=91
20+7=29|28+1=29
20+76=103|28+75=103
20+77=99|28+71=99
20+79=101|28+73=101
20+79=103|28+75=103
20+86=113|28+85=113
20+87=109|28+81=109
20+89=111|28+83=111
20+9=31|28+3=31
20+9=33|28+5=33
20+96=123|28+95=123
20+97=119|28+91=119
20+99=121|28+93=121
20+99=123|28+95=123
21-16=12|27-15=12
21-17=16|27-11=16
21-18=11|27-16=11
21-18=17|27-10=17
21-19=14|27-13=14
21-26=2|27-25=2
21-27=6|27-21=6
21-28=1|27-26=1
21-28=7|27-20=7
21-29=4|27-23=4
21-6=22|27-5=22
21-7=26|27-1=26
21+16=42|27+15=42
21+18=37|27+10=37
21+18=43|27+16=43
21+19=42|27+15=42
21+26=52|27+25=52
21+28=47|27+20=47
21+28=53|27+26=53
21+29=52|27+25=52
21+36=62|27+35=62
21+38=57|27+30=57
21+39=62|27+35=62
21+46=72|27+45=72
21+48=67|27+40=67
21+48=73|27+46=73
21+49=72|27+45=72
21+56=82|27+55=82
21+58=77|27+50=77
21+58=83|27+56=83
21+59=82|27+55=82
21+6=32|27+5=32
21+66=92|27+65=92
21+68=87|27+60=87
21+68=93|27+66=93
21+69=92|27+65=92
21+76=102|27+75=102
21+78=103|27+76=103
21+78=97|27+70=97
21+79=102|27+75=102
21+8=33|27+6=33
21+86=112|27+85=112
21+88=107|27+80=107
21+89=112|27+85=112
21+9=32|27+5=32
21+96=122|27+95=122
21+98=117|27+90=117
21+98=123|27+96=123
21+99=122|27+95=122
23-16=14|29-15=14
23-17=18|29-11=18
23-18=10|29-19=10
23-18=13|29-16=13
23-18=19|29-10=19
23-19=16|29-13=16
23-26=4|29-25=4
23-27=8|29-21=8
23-28=3|29-26=3
23-28=9|29-20=9
23-29=6|29-23=6
23-6=24|29-5=24
23-7=28|29-1=28
23-8=20|29-9=20
23+16=44|29+15=44
23+18=39|29+10=39
23+18=45|29+16=45
23+18=48|29+19=48
23+26=54|29+25=54
23+28=49|29+20=49
23+28=55|29+26=55
23+28=58|29+29=58
23+36=64|29+35=64
23+38=59|29+30=59
23+38=65|29+36=65
23+38=68|29+39=68
23+46=74|29+45=74
23+48=69|29+40=69
23+48=75|29+46=75
23+48=78|29+49=78
23+56=84|29+55=84
23+58=79|29+50=79
23+58=85|29+56=85
23+58=88|29+59=88
23+6=34|29+5=34
23+66=94|29+65=94
23+68=89|29+60=89
23+68=95|29+66=95
23+68=98|29+69=98
23+76=104|29+75=104
23+78=105|29+76=105
23+78=108|29+79=108
23+78=99|29+70=99
23+8=35|29+6=35
23+8=38|29+9=38
23+86=114|29+85=114
23+88=109|29+80=109
23+88=115|29+86=115
23+88=118|29+89=118
23+96=124|29+95=124
23+98=119|29+90=119
23+98=125|29+96=125
23+98=128|29+99=128
25-16=11|26-15=11
25-16=14|29-15=14
25-17=15|26-11=15
25-18=13|29-16=13
25-18=16|26-10=16
25-18=19|29-10=19
25-19=11|26-15=11
25-19=13|26-13=13
25-19=14|29-15=14
25-26=1|26-25=1
25-26=4|29-25=4
25-27=5|26-21=5
25-28=3|29-26=3
25-28=6|26-20=6
25-28=9|29-20=9
25-29=1|26-25=1
25-29=3|26-23=3
25-29=4|29-25=4
25-6=21|26-5=21
25-6=24|29-5=24
25-7=25|26-1=25
25-8=23|29-6=23
25-9=21|26-5=21
25-9=23|26-3=23
25-9=24|29-5=24
25+17=37|26+11=37
25+18=36|26+10=36
25+18=39|29+10=39
25+18=48|29+19=48
25+27=47|26+21=47
25+28=46|26+20=46
25+28=49|29+20=49
25+28=58|29+29=58
25+37=57|26+31=57
25+38=56|26+30=56
25+38=68|29+39=68
25+47=67|26+41=67
25+48=66|26+40=66
25+48=69|29+40=69
25+48=78|29+49=78
25+57=77|26+51=77
25+58=76|26+50=76
25+58=79|29+50=79
25+58=88|29+59=88
25+67=87|26+61=87
25+68=86|26+60=86
25+68=89|29+60=89
25+68=98|29+69=98
25+7=27|26+1=27
25+77=97|26+71=97
25+78=108|29+79=108
25+78=96|26+70=96
25+78=99|29+70=99
25+8=38|29+9=38
25+87=107|26+81=107
25+88=106|26+80=106
25+88=109|29+80=109
25+88=118|29+89=118
25+97=117|26+91=117
25+98=116|26+90=116
25+98=128|29+99=128
26-13=6|25-19=6
26-15=6|25-19=6
26-15=9|25-16=9
26-18=12|28-16=12
26-18=9|28-19=9
26-19=13|28-15=13
26-19=15|28-13=15
26-28=2|28-26=2
26-29=3|28-25=3
26-29=5|28-23=5
26-3=16|25-9=16
26-5=16|25-9=16
26-5=19|25-6=19
26-8=19|28-9=19
26-8=22|28-6=22
26-9=23|28-5=23
26-9=25|28-3=25
26+0=33|25+8=33
26+1=32|25+7=32
26+10=43|25+18=43
26+11=42|25+17=42
26+13=44|25+19=44
26+17=39|28+11=39
26+19=41|28+13=41
26+20=53|25+28=53
26+21=52|25+27=52
26+23=54|25+29=54
26+27=49|28+21=49
26+29=51|28+23=51
26+3=34|25+9=34
26+30=63|25+38=63
26+31=62|25+37=62
26+33=64|25+39=64
26+39=61|28+33=61
26+40=73|25+48=73
26+41=72|25+47=72
26+43=74|25+49=74
26+47=69|28+41=69
26+49=71|28+43=71
26+50=83|25+58=83
26+51=82|25+57=82
26+53=84|25+59=84
26+57=79|28+51=79
26+59=81|28+53=81
26+60=93|25+68=93
26+61=92|25+67=92
26+63=94|25+69=94
26+67=89|28+61=89
26+69=91|28+63=91
26+7=29|28+1=29
26+70=103|25+78=103
26+71=102|25+77=102
26+73=104|25+79=104
26+77=99|28+71=99
26+79=101|28+73=101
26+80=113|25+88=113
26+81=112|25+87=112
26+83=114|25+89=114
26+87=109|28+81=109
26+89=111|28+83=111
26+9=31|28+3=31
26+90=123|25+98=123
26+91=122|25+97=122
26+93=124|25+99=124
26+99=121|28+93=121
27-0=13|21-8=13
27-1=14|21-7=14
27-10=3|21-18=3
27-11=4|21-17=4
27-13=2|21-19=2
27-15=2|21-19=2
27-16=3|21-18=3
27-19=3|21-18=3
27-3=12|21-9=12
27-5=12|21-9=12
27-6=13|21-8=13
27-9=13|21-8=13
27+0=29|21+8=29
27+10=39|21+18=39
27+15=37|21+16=37
27+16=39|21+18=39
27+19=39|21+18=39
27+20=49|21+28=49
27+25=47|21+26=47
27+26=49|21+28=49
27+29=49|21+28=49
27+30=59|21+38=59
27+35=57|21+36=57
27+39=59|21+38=59
27+40=69|21+48=69
27+45=67|21+46=67
27+46=69|21+48=69
27+49=69|21+48=69
27+5=27|21+6=27
27+50=79|21+58=79
27+55=77|21+56=77
27+56=79|21+58=79
27+59=79|21+58=79
27+6=29|21+8=29
27+60=89|21+68=89
27+65=87|21+66=87
27+66=89|21+68=89
27+69=89|21+68=89
27+70=99|21+78=99
27+75=97|21+76=97
27+76=99|21+78=99
27+79=99|21+78=99
27+80=109|21+88=109
27+85=107|21+86=107
27+86=109|21+88=109
27+89=109|21+88=109
27+9=29|21+8=29
27+90=119|21+98=119
27+95=117|21+96=117
27+99=119|21+98=119
28-0=12|20-8=12
28-0=18|26-8=18
28-0=21|29-8=21
28-1=19|26-7=19
28-1=22|29-7=22
28-10=11|29-18=11
28-10=2|20-18=2
28-10=8|26-18=8
28-11=12|29-17=12
28-11=9|26-17=9
28-13=10|29-19=10
28-13=7|26-19=7
28-15=1|20-19=1
28-15=4|20-16=4
28-15=7|26-19=7
28-16=11|29-18=11
28-16=2|20-18=2
28-16=8|26-18=8
28-19=11|29-18=11
28-19=2|20-18=2
28-19=8|26-18=8
28-20=1|29-28=1
28-21=2|29-27=2
28-26=1|29-28=1
28-29=1|29-28=1
28-3=17|26-9=17
28-3=20|29-9=20
28-5=11|20-9=11
28-5=14|20-6=14
28-5=17|26-9=17
28-6=12|20-8=12
28-6=18|26-8=18
28-6=21|29-8=21
28-9=12|20-8=12
28-9=18|26-8=18
28-9=21|29-8=21
28+1=27|20+7=27
28+1=33|26+7=33
28+11=37|20+17=37
28+11=43|26+17=43
28+13=39|20+19=39
28+13=45|26+19=45
28+13=48|29+19=48
28+15=36|20+16=36
28+15=39|20+19=39
28+15=48|29+19=48
28+21=47|20+27=47
28+21=53|26+27=53
28+23=49|20+29=49
28+23=55|26+29=55
28+23=58|29+29=58
28+25=46|20+26=46
28+25=49|20+29=49
28+25=58|29+29=58
28+3=29|20+9=29
28+3=35|26+9=35
28+3=38|29+9=38
28+31=57|20+37=57
28+33=59|20+39=59
28+33=65|26+39=65
28+33=68|29+39=68
28+35=56|20+36=56
28+35=68|29+39=68
28+41=67|20+47=67
28+41=73|26+47=73
28+43=69|20+49=69
28+43=75|26+49=75
28+43=78|29+49=78
28+45=66|20+46=66
28+45=69|20+49=69
28+45=78|29+49=78
28+5=26|20+6=26
28+5=29|20+9=29
28+5=38|29+9=38
28+51=77|20+57=77
28+51=83|26+57=83
28+53=79|20+59=79
28+53=85|26+59=85
28+53=88|29+59=88
28+55=76|20+56=76
28+55=79|20+59=79
28+55=88|29+59=88
28+61=87|20+67=87
28+61=93|26+67=93
28+63=89|20+69=89
28+63=95|26+69=95
28+63=98|29+69=98
28+65=86|20+66=86
28+65=89|20+69=89
28+65=98|29+69=98
28+71=103|26+77=103
28+71=97|20+77=97
28+73=105|26+79=105
28+73=108|29+79=108
28+73=99|20+79=99
28+75=108|29+79=108
28+75=96|20+76=96
28+75=99|20+79=99
28+81=107|20+87=107
28+83=109|20+89=109
28+83=115|26+89=115
28+83=118|29+89=118
28+85=106|20+86=106
28+85=109|20+89=109
28+85=118|29+89=118
28+91=117|20+97=117
28+91=123|26+97=123
28+93=119|20+99=119
28+93=125|26+99=125
28+93=128|29+99=128
28+95=116|20+96=116
28+95=128|29+99=128
29-0=15|23-8=15
29-0=17|25-8=17
29-1=16|23-7=16
29-1=18|25-7=18
29-10=5|23-18=5
29-10=7|25-18=7
29-11=6|23-17=6
29-11=8|25-17=8
29-13=4|23-19=4
29-13=6|25-19=6
29-15=4|23-19=4
29-15=7|23-16=7
29-16=7|25-18=7
29-18=12|28-16=12
29-18=9|28-19=9
29-28=2|28-26=2
29-3=14|23-9=14
29-3=16|25-9=16
29-5=14|23-9=14
29-5=17|23-6=17
29-6=17|25-8=17
29-8=19|28-9=19
29-8=22|28-6=22
29+0=31|23+8=31
29+0=33|25+8=33
29+1=32|25+7=32
29+10=41|23+18=41
29+10=43|25+18=43
29+11=42|25+17=42
29+16=41|23+18=41
29+17=39|28+11=39
29+20=51|23+28=51
29+20=53|25+28=53
29+21=52|25+27=52
29+26=51|23+28=51
29+27=49|28+21=49
29+30=61|23+38=61
29+31=62|25+37=62
29+36=61|23+38=61
29+37=59|28+31=59
29+40=71|23+48=71
29+40=73|25+48=73
29+41=72|25+47=72
29+46=71|23+48=71
29+47=69|28+41=69
29+50=81|23+58=81
29+51=82|25+57=82
29+56=81|23+58=81
29+57=79|28+51=79
29+6=31|23+8=31
29+60=91|23+68=91
29+61=92|25+67=92
29+66=91|23+68=91
29+67=89|28+61=89
29+7=29|28+1=29
29+70=101|23+78=101
29+70=103|25+78=103
29+71=102|25+77=102
29+76=101|23+78=101
29+77=99|28+71=99
29+80=111|23+88=111
29+81=112|25+87=112
29+86=111|23+88=111
29+87=109|28+81=109
29+90=121|23+98=121
29+90=123|25+98=123
29+91=122|25+97=122
29+96=121|23+98=121
29+97=119|28+91=119
3-6=4|9-5=4
3-7=8|9-1=8
3-8=3|9-6=3
3-9=4|9-5=4
3-9=6|3+3=6
3+16=24|9+15=24
3+18=19|9+10=19
3+18=25|9+16=25
3+18=28|9+19=28
3+26=34|9+25=34
3+28=29|9+20=29
3+28=35|9+26=35
3+28=38|9+29=38
3+36=44|9+35=44
3+38=39|9+30=39
3+38=45|9+36=45
3+38=48|9+39=48
3+46=54|9+45=54
3+48=49|9+40=49
3+48=55|9+46=55
3+48=58|9+49=58
3+56=64|9+55=64
3+58=59|9+50=59
3+58=65|9+56=65
3+58=68|9+59=68
3+6=14|9+5=14
3+66=74|9+65=74
3+68=69|9+60=69
3+68=75|9+66=75
3+68=78|9+69=78
3+76=84|9+75=84
3+78=79|9+70=79
3+78=85|9+76=85
3+78=88|9+79=88
3+8=15|9+6=15
3+8=18|9+9=18
3+86=94|9+85=94
3+88=89|9+80=89
3+88=95|9+86=95
3+88=98|9+89=98
3+96=104|9+95=104
3+98=105|9+96=105
3+98=108|9+99=108
3+98=99|9+90=99
30-18=19|38-19=19
30-18=22|38-16=22
30-19=23|38-15=23
30-19=25|38-13=25
30-28=12|38-26=12
30-28=9|38-29=9
30-29=13|38-25=13
30-29=15|38-23=15
30-39=3|38-35=3
30-39=5|38-33=5
30-8=29|38-9=29
30+16=53|38+15=53
30+17=49|38+11=49
30+19=51|38+13=51
30+19=53|38+15=53
30+26=63|38+25=63
30+27=59|38+21=59
30+36=73|38+35=73
30+37=69|38+31=69
30+39=71|38+33=71
30+39=73|38+35=73
30+46=83|38+45=83
30+47=79|38+41=79
30+49=81|38+43=81
30+49=83|38+45=83
30+56=93|38+55=93
30+57=89|38+51=89
30+59=91|38+53=91
30+6=43|38+5=43
30+66=103|38+65=103
30+67=99|38+61=99
30+69=101|38+63=101
30+69=103|38+65=103
30+7=39|38+1=39
30+76=113|38+75=113
30+77=109|38+71=109
30+79=111|38+73=111
30+79=113|38+75=113
30+86=123|38+85=123
30+87=119|38+81=119
30+89=121|38+83=121
30+9=41|38+3=41
30+9=43|38+5=43
30+96=133|38+95=133
30+97=129|38+91=129
30+99=131|38+93=131
30+99=133|38+95=133
31-16=22|37-15=22
31-17=26|37-11=26
31-18=21|37-16=21
31-18=27|37-10=27
31-19=22|37-15=22
31-19=24|37-13=24
31-26=12|37-25=12
31-27=16|37-21=16
31-28=11|37-26=11
31-28=17|37-20=17
31-29=12|37-25=12
31-29=14|37-23=14
31-36=2|37-35=2
31-37=6|37-31=6
31-38=1|37-36=1
31-38=7|37-30=7
31-39=4|37-33=4
31-6=32|37-5=32
31-7=36|37-1=36
31+16=52|37+15=52
31+18=47|37+10=47
31+18=53|37+16=53
31+19=52|37+15=52
31+26=62|37+25=62
31+28=57|37+20=57
31+36=72|37+35=72
31+38=67|37+30=67
31+38=73|37+36=73
31+39=72|37+35=72
31+46=82|37+45=82
31+48=77|37+40=77
31+48=83|37+46=83
31+49=82|37+45=82
31+56=92|37+55=92
31+58=87|37+50=87
31+58=93|37+56=93
31+59=92|37+55=92
31+6=42|37+5=42
31+66=102|37+65=102
31+68=103|37+66=103
31+68=97|37+60=97
31+69=102|37+65=102
31+76=112|37+75=112
31+78=107|37+70=107
31+78=113|37+76=113
31+79=112|37+75=112
31+8=43|37+6=43
